"Census Tract 21.02, District of Columbia, District of Columbia",5076.0,2116.0,71528.0,4227.0,5020.0,314.0,41.8,42658.0,565.0,3586.0,57.0,34.0,0.0,728.0,705.0,106.0,1939.0,2007.0,1050.0,432700.0,591.0,77.0,3542.0,406.0,3116.0,33.0,7.0,0.0,559.0,106.0,652.0,2728.0,1711.0,1539.0,172.0,814.0,44.0,82.0,27.0,1035.0,414.0,621.0,175.0,446.0,1081.0,861.0,220.0,11,001,002102,340.0,813.0,669.0,843.0,739.0,420.0,3408.0,601.0,157.0,427.0,346.0,349.0,479.0,228.0,821.0,474.0,644.0,157.0,436.0,472.0,429.0,556.0,277.0,939.0,705.0,77.0,4175.0,33.0,496.0,35.0,259.0,354.0,325.0,188.0,448.0,485.0,404.0,324.0,268.0,155.0,165.0,288.0,125.0,689.0,39.0,268.0,443.0,443.0,269.0,509.0,559.0,407.0,368.0,268.0,162.0,165.0,306.0,2607.0,2469.0,0.4569,2016
"Census Tract 21.02, District of Columbia, District of Columbia",5264.0,2077.0,76836.0,4416.0,5216.0,308.0,41.0,41366.0,673.0,3795.0,82.0,38.0,0.0,582.0,689.0,94.0,1939.0,2007.0,1111.0,453200.0,659.0,91.0,3644.0,490.0,3242.0,46.0,8.0,0.0,536.0,94.0,716.0,2761.0,1783.0,1600.0,183.0,726.0,61.0,107.0,33.0,1050.0,480.0,570.0,151.0,419.0,1027.0,804.0,223.0,11,001,002102,415.0,707.0,774.0,897.0,776.0,443.0,3515.0,631.0,203.0,513.0,338.0,385.0,322.0,347.0,776.0,501.0,646.0,203.0,534.0,454.0,485.0,404.0,392.0,928.0,689.0,91.0,4349.0,73.0,516.0,28.0,230.0,401.0,372.0,172.0,494.0,472.0,333.0,331.0,326.0,128.0,183.0,357.0,190.0,658.0,31.0,265.0,526.0,530.0,228.0,559.0,502.0,340.0,370.0,326.0,128.0,183.0,380.0,2655.0,2609.0,0.4527,2017
"Census Tract 21.02, District of Columbia, District of Columbia",5223.0,1968.0,83167.0,4541.0,5171.0,318.0,40.6,40632.0,824.0,3449.0,98.0,40.0,0.0,648.0,861.0,164.0,0.0,2007.0,1177.0,501700.0,825.0,125.0,3567.0,624.0,3090.0,58.0,10.0,0.0,595.0,164.0,851.0,2553.0,1535.0,1346.0,189.0,724.0,87.0,100.0,51.0,1083.0,626.0,457.0,105.0,352.0,885.0,708.0,177.0,11,001,002102,450.0,569.0,731.0,808.0,939.0,526.0,3426.0,633.0,237.0,463.0,271.0,322.0,368.0,205.0,927.0,579.0,671.0,237.0,487.0,376.0,355.0,455.0,253.0,1064.0,861.0,125.0,4123.0,176.0,603.0,62.0,203.0,286.0,382.0,265.0,470.0,452.0,289.0,309.0,260.0,192.0,165.0,427.0,227.0,710.0,67.0,232.0,349.0,537.0,304.0,541.0,484.0,297.0,350.0,260.0,192.0,165.0,456.0,2525.0,2698.0,0.468,2018
"Census Tract 73.01, District of Columbia, District of Columbia",2664.0,769.0,69987.75421263,1349.0,2542.0,11.0,24.9,23775.170820599997,1718.0,561.0,0.0,121.0,0.0,145.0,35.0,119.0,1993,2005+,2001.0,-666666666.0,0.0,259.0,926.0,830.0,327.0,0.0,64.0,0.0,96.0,32.0,250.0,1187.0,835.0,754.0,81.0,65.0,16.0,131.0,111.0,734.0,648.0,86.0,9.0,77.0,35.0,25.0,10.0,11,001,007301,8.0,157.0,219.0,182.0,110.0,168.0,763.0,71.0,46.0,108.0,176.0,166.0,81.0,31.0,84.0,254.0,188.0,86.0,182.0,288.0,322.0,185.0,69.0,158.0,35.0,287.0,2012.0,140.0,299.0,42.0,192.0,243.0,87.0,140.0,120.0,51.0,24.0,0.0,0.0,0.0,0.0,11.0,382.0,464.0,76.0,296.0,566.0,156.0,290.0,178.0,63.0,53.0,7.0,0.0,0.0,0.0,11.0,1495.0,1169.0,0.28,2010
"Census Tract 73.01, District of Columbia, District of Columbia",2842.0,676.0,72329.64092969999,1773.0,2758.0,6.0,23.2,24700.48060231,1863.0,632.0,14.0,117.0,0.0,132.0,44.0,84.0,1993.0,2005.0,2001.0,-666666666.0,0.0,286.0,1074.0,1145.0,402.0,14.0,78.0,0.0,85.0,49.0,243.0,1544.0,890.0,747.0,143.0,81.0,16.0,219.0,325.0,626.0,571.0,55.0,9.0,46.0,50.0,23.0,27.0,11,001,007301,0.0,189.0,322.0,193.0,140.0,179.0,1096.0,79.0,110.0,156.0,279.0,194.0,112.0,36.0,130.0,268.0,183.0,172.0,287.0,380.0,325.0,174.0,90.0,158.0,44.0,313.0,1714.0,218.0,291.0,39.0,381.0,311.0,126.0,126.0,145.0,57.0,68.0,0.0,0.0,0.0,0.0,11.0,320.0,425.0,139.0,667.0,480.0,183.0,199.0,159.0,73.0,102.0,0.0,0.0,0.0,0.0,11.0,1747.0,1095.0,0.276,2011
"Census Tract 73.01, District of Columbia, District of Columbia",3170.0,708.0,71530.6569875,1981.0,3031.0,12.0,22.7,26954.910968949996,2202.0,547.0,24.0,100.0,0.0,201.0,48.0,96.0,1990.0,2008.0,2001.0,-666666666.0,45.0,250.0,1228.0,1399.0,290.0,24.0,58.0,0.0,160.0,50.0,213.0,1682.0,999.0,867.0,132.0,19.0,16.0,277.0,355.0,655.0,553.0,102.0,35.0,67.0,53.0,24.0,29.0,11,001,007301,0.0,133.0,407.0,250.0,129.0,254.0,1133.0,62.0,136.0,147.0,282.0,132.0,143.0,35.0,196.0,316.0,190.0,186.0,284.0,436.0,237.0,268.0,59.0,246.0,45.0,348.0,1845.0,291.0,347.0,26.0,398.0,361.0,172.0,116.0,111.0,62.0,84.0,0.0,0.0,0.0,0.0,13.0,412.0,457.0,139.0,718.0,564.0,212.0,181.0,142.0,89.0,104.0,0.0,0.0,0.0,0.0,13.0,1945.0,1225.0,0.3649,2012
"Census Tract 73.01, District of Columbia, District of Columbia",3282.0,775.0,78418.11451087,2184.0,3128.0,9.0,23.0,27129.823669809997,2380.0,622.0,13.0,56.0,0.0,133.0,75.0,78.0,1994.0,2011.0,2001.0,-666666666.0,71.0,212.0,1408.0,1680.0,309.0,13.0,16.0,0.0,118.0,48.0,272.0,1638.0,921.0,865.0,56.0,36.0,18.0,273.0,390.0,708.0,643.0,65.0,11.0,54.0,67.0,37.0,30.0,11,001,007301,0.0,95.0,471.0,250.0,205.0,275.0,1236.0,75.0,45.0,215.0,331.0,171.0,102.0,21.0,276.0,377.0,142.0,72.0,305.0,484.0,247.0,253.0,34.0,303.0,71.0,303.0,2101.0,337.0,361.0,102.0,363.0,302.0,225.0,105.0,149.0,123.0,87.0,15.0,0.0,0.0,0.0,15.0,465.0,488.0,152.0,634.0,479.0,253.0,209.0,182.0,149.0,87.0,15.0,0.0,0.0,0.0,15.0,1955.0,1327.0,0.3757,2013
"Census Tract 73.01, District of Columbia, District of Columbia",3602.0,852.0,66094.0,2408.0,3393.0,10.0,21.9,24671.0,2410.0,898.0,14.0,57.0,0.0,163.0,92.0,60.0,1995.0,2011.0,2001.0,-666666666.0,87.0,201.0,1590.0,1629.0,545.0,14.0,29.0,0.0,159.0,32.0,249.0,1780.0,975.0,904.0,71.0,46.0,79.0,276.0,404.0,771.0,699.0,72.0,19.0,53.0,81.0,53.0,28.0,11,001,007301,0.0,53.0,488.0,229.0,283.0,256.0,1360.0,68.0,76.0,237.0,363.0,223.0,98.0,29.0,266.0,370.0,126.0,107.0,319.0,513.0,317.0,198.0,45.0,330.0,87.0,293.0,2346.0,432.0,384.0,117.0,422.0,315.0,303.0,96.0,129.0,89.0,59.0,47.0,0.0,0.0,0.0,15.0,592.0,517.0,164.0,642.0,479.0,363.0,207.0,161.0,118.0,59.0,47.0,29.0,0.0,0.0,15.0,2088.0,1514.0,0.3888,2014
"Census Tract 73.01, District of Columbia, District of Columbia",4002.0,1037.0,75625.0,2528.0,3821.0,29.0,23.0,28639.0,2674.0,974.0,13.0,78.0,0.0,138.0,90.0,125.0,1997.0,2013.0,2408.0,-666666666.0,77.0,197.0,1781.0,1599.0,681.0,13.0,40.0,0.0,138.0,57.0,282.0,2106.0,1315.0,1101.0,214.0,53.0,86.0,473.0,179.0,912.0,844.0,68.0,18.0,50.0,125.0,92.0,33.0,11,001,007301,0.0,42.0,492.0,276.0,403.0,257.0,1473.0,84.0,89.0,355.0,239.0,208.0,134.0,46.0,318.0,363.0,193.0,127.0,531.0,371.0,310.0,259.0,49.0,464.0,86.0,275.0,2763.0,437.0,390.0,0.0,488.0,339.0,339.0,121.0,173.0,53.0,86.0,72.0,30.0,0.0,0.0,0.0,601.0,599.0,120.0,739.0,477.0,471.0,215.0,222.0,96.0,86.0,113.0,58.0,0.0,24.0,0.0,2249.0,1753.0,0.3911,2015
"Census Tract 73.01, District of Columbia, District of Columbia",4680.0,1211.0,76734.0,2914.0,4374.0,26.0,22.8,28914.0,3062.0,1176.0,12.0,110.0,0.0,160.0,143.0,160.0,1997.0,-666666666.0,2481.0,-666666666.0,73.0,196.0,2173.0,1766.0,847.0,12.0,87.0,0.0,160.0,42.0,315.0,2352.0,1467.0,1238.0,229.0,47.0,139.0,512.0,168.0,1091.0,1023.0,68.0,21.0,47.0,120.0,111.0,9.0,11,001,007301,0.0,36.0,580.0,334.0,467.0,256.0,1694.0,106.0,120.0,411.0,245.0,214.0,186.0,39.0,373.0,365.0,270.0,176.0,602.0,370.0,300.0,275.0,52.0,595.0,129.0,264.0,3273.0,504.0,492.0,0.0,501.0,387.0,347.0,178.0,198.0,79.0,74.0,130.0,24.0,0.0,0.0,0.0,709.0,708.0,107.0,771.0,514.0,501.0,294.0,259.0,142.0,99.0,191.0,59.0,0.0,20.0,0.0,2676.0,2004.0,0.379,2016
"Census Tract 73.01, District of Columbia, District of Columbia",4606.0,1194.0,84009.0,2778.0,4380.0,29.0,23.6,29841.0,2922.0,1197.0,6.0,109.0,0.0,89.0,174.0,283.0,1997.0,-666666666.0,2465.0,-666666666.0,92.0,145.0,2152.0,1614.0,911.0,0.0,85.0,0.0,83.0,85.0,454.0,2372.0,1736.0,1408.0,328.0,48.0,126.0,299.0,136.0,1058.0,1008.0,50.0,10.0,40.0,136.0,100.0,36.0,11,001,007301,0.0,42.0,534.0,301.0,472.0,194.0,1560.0,123.0,69.0,322.0,236.0,196.0,174.0,50.0,390.0,323.0,293.0,123.0,563.0,369.0,327.0,280.0,67.0,629.0,164.0,221.0,3337.0,540.0,484.0,0.0,405.0,317.0,406.0,164.0,153.0,80.0,69.0,128.0,22.0,10.0,0.0,0.0,746.0,676.0,139.0,658.0,522.0,611.0,304.0,224.0,141.0,91.0,182.0,57.0,10.0,19.0,0.0,2468.0,2138.0,0.3514,2017
"Census Tract 73.01, District of Columbia, District of Columbia",4746.0,1280.0,88015.0,2806.0,4506.0,30.0,24.0,31918.0,2898.0,1329.0,6.0,113.0,0.0,98.0,226.0,302.0,1997.0,2015.0,2548.0,-666666666.0,124.0,132.0,2223.0,1543.0,974.0,0.0,92.0,0.0,93.0,104.0,444.0,2403.0,1857.0,1519.0,338.0,52.0,117.0,278.0,72.0,1125.0,1019.0,106.0,49.0,57.0,155.0,120.0,35.0,11,001,007301,0.0,37.0,537.0,360.0,465.0,237.0,1551.0,130.0,78.0,248.0,228.0,163.0,174.0,34.0,496.0,344.0,332.0,123.0,448.0,365.0,330.0,277.0,55.0,750.0,213.0,208.0,3519.0,552.0,517.0,0.0,338.0,339.0,385.0,222.0,134.0,88.0,61.0,135.0,24.0,11.0,0.0,0.0,783.0,750.0,120.0,580.0,566.0,619.0,342.0,230.0,148.0,85.0,191.0,60.0,11.0,21.0,0.0,2561.0,2185.0,0.3386,2018
"Census Tract 74.01, District of Columbia, District of Columbia",2242.0,789.0,20771.423081139998,1960.0,2162.0,503.0,23.6,10875.898986189999,125.0,2106.0,0.0,0.0,0.0,0.0,1255.0,11.0,1954,2001,384.0,246400.0,1146.0,181.0,583.0,107.0,1842.0,0.0,0.0,0.0,0.0,11.0,60.0,401.0,157.0,148.0,9.0,230.0,0.0,0.0,0.0,544.0,67.0,477.0,35.0,442.0,245.0,208.0,37.0,11,001,007401,386.0,395.0,125.0,93.0,19.0,423.0,977.0,437.0,54.0,199.0,24.0,179.0,60.0,0.0,24.0,423.0,510.0,65.0,199.0,73.0,179.0,60.0,0.0,24.0,1175.0,181.0,756.0,142.0,610.0,95.0,95.0,160.0,106.0,55.0,209.0,63.0,161.0,87.0,25.0,62.0,32.0,58.0,188.0,656.0,95.0,132.0,160.0,106.0,69.0,209.0,85.0,187.0,87.0,25.0,73.0,32.0,58.0,990.0,1252.0,0.52,2010
"Census Tract 74.01, District of Columbia, District of Columbia",2124.0,844.0,17275.32848,1743.0,2092.0,578.0,28.4,12294.63533761,53.0,2071.0,0.0,0.0,0.0,0.0,1015.0,0.0,1954.0,2002.0,330.0,258800.0,817.0,296.0,620.0,36.0,1707.0,0.0,0.0,0.0,0.0,0.0,36.0,400.0,189.0,175.0,14.0,192.0,5.0,0.0,0.0,485.0,53.0,432.0,56.0,376.0,359.0,321.0,38.0,11,001,007401,399.0,448.0,131.0,81.0,19.0,398.0,1030.0,473.0,95.0,159.0,37.0,167.0,86.0,0.0,13.0,434.0,578.0,112.0,164.0,87.0,167.0,91.0,0.0,13.0,983.0,306.0,793.0,127.0,343.0,106.0,89.0,181.0,98.0,51.0,230.0,80.0,177.0,113.0,11.0,49.0,37.0,51.0,206.0,420.0,106.0,139.0,181.0,116.0,64.0,230.0,104.0,235.0,133.0,16.0,49.0,37.0,56.0,985.0,1139.0,0.5704,2011
"Census Tract 74.01, District of Columbia, District of Columbia",2327.0,841.0,14824.391251899999,1879.0,2260.0,623.0,26.4,11242.999716389999,82.0,2239.0,0.0,6.0,0.0,0.0,1227.0,0.0,1955.0,2004.0,393.0,262000.0,978.0,368.0,521.0,59.0,1814.0,0.0,6.0,0.0,0.0,0.0,84.0,417.0,193.0,171.0,22.0,183.0,5.0,6.0,16.0,525.0,50.0,475.0,85.0,390.0,316.0,280.0,36.0,11,001,007401,344.0,437.0,174.0,62.0,19.0,299.0,1124.0,604.0,103.0,132.0,62.0,93.0,98.0,5.0,27.0,336.0,710.0,135.0,141.0,109.0,93.0,103.0,5.0,27.0,1160.0,392.0,696.0,166.0,480.0,75.0,122.0,211.0,139.0,67.0,152.0,63.0,195.0,49.0,17.0,40.0,55.0,48.0,240.0,574.0,75.0,172.0,211.0,164.0,94.0,152.0,94.0,246.0,69.0,21.0,40.0,55.0,53.0,1051.0,1276.0,0.5706,2012
"Census Tract 74.01, District of Columbia, District of Columbia",2524.0,909.0,16619.94570579,2078.0,2448.0,669.0,25.3,10873.73957013,59.0,2460.0,0.0,5.0,0.0,0.0,1440.0,0.0,1953.0,2006.0,458.0,251400.0,1132.0,439.0,498.0,39.0,2034.0,0.0,5.0,0.0,0.0,0.0,83.0,485.0,177.0,155.0,22.0,267.0,5.0,5.0,19.0,560.0,40.0,520.0,96.0,424.0,349.0,312.0,37.0,11,001,007401,364.0,437.0,213.0,66.0,18.0,346.0,1169.0,561.0,119.0,183.0,101.0,83.0,74.0,22.0,26.0,434.0,653.0,138.0,225.0,125.0,89.0,79.0,22.0,26.0,1378.0,480.0,581.0,199.0,560.0,79.0,142.0,238.0,147.0,100.0,98.0,52.0,197.0,86.0,28.0,48.0,55.0,49.0,245.0,627.0,107.0,196.0,238.0,173.0,136.0,98.0,64.0,259.0,104.0,35.0,57.0,55.0,54.0,1170.0,1354.0,0.5512,2013
"Census Tract 74.01, District of Columbia, District of Columbia",2448.0,899.0,14813.0,2019.0,2360.0,685.0,24.5,9266.0,4.0,2433.0,0.0,11.0,0.0,0.0,1468.0,0.0,1949.0,2009.0,460.0,287500.0,1131.0,416.0,466.0,0.0,2008.0,0.0,11.0,0.0,0.0,0.0,40.0,472.0,138.0,113.0,25.0,303.0,4.0,10.0,17.0,521.0,19.0,502.0,91.0,411.0,378.0,344.0,34.0,11,001,007401,325.0,449.0,189.0,50.0,35.0,251.0,1138.0,589.0,103.0,161.0,131.0,77.0,47.0,0.0,30.0,356.0,643.0,124.0,213.0,131.0,86.0,51.0,0.0,30.0,1393.0,463.0,498.0,194.0,558.0,99.0,120.0,207.0,140.0,123.0,70.0,32.0,162.0,104.0,38.0,58.0,54.0,60.0,226.0,645.0,141.0,143.0,207.0,172.0,154.0,70.0,47.0,203.0,127.0,43.0,64.0,54.0,64.0,1050.0,1398.0,0.5426,2014
"Census Tract 74.01, District of Columbia, District of Columbia",2453.0,952.0,15205.0,2029.0,2363.0,696.0,27.4,9501.0,5.0,2438.0,0.0,10.0,0.0,0.0,1489.0,0.0,1946.0,2010.0,410.0,279300.0,1156.0,394.0,476.0,0.0,2019.0,0.0,10.0,0.0,0.0,0.0,40.0,523.0,166.0,142.0,24.0,327.0,5.0,9.0,16.0,567.0,19.0,548.0,86.0,462.0,385.0,360.0,25.0,11,001,007401,337.0,514.0,203.0,49.0,45.0,399.0,1083.0,478.0,129.0,168.0,148.0,77.0,50.0,0.0,33.0,500.0,531.0,151.0,220.0,148.0,86.0,55.0,0.0,33.0,1410.0,444.0,506.0,106.0,567.0,86.0,122.0,193.0,177.0,178.0,118.0,39.0,189.0,82.0,33.0,36.0,56.0,47.0,138.0,651.0,124.0,142.0,193.0,210.0,209.0,118.0,54.0,232.0,104.0,40.0,41.0,56.0,51.0,1035.0,1418.0,0.5332,2015
"Census Tract 74.01, District of Columbia, District of Columbia",2314.0,908.0,14692.0,2033.0,2245.0,666.0,26.5,9915.0,0.0,2302.0,0.0,12.0,0.0,0.0,1461.0,0.0,1950.0,2010.0,448.0,272000.0,1264.0,327.0,440.0,0.0,2021.0,0.0,12.0,0.0,0.0,0.0,39.0,511.0,201.0,178.0,23.0,286.0,0.0,7.0,17.0,544.0,29.0,515.0,69.0,446.0,364.0,342.0,22.0,11,001,007401,301.0,473.0,243.0,42.0,53.0,402.0,1100.0,507.0,159.0,168.0,102.0,70.0,38.0,11.0,45.0,480.0,532.0,175.0,200.0,106.0,79.0,38.0,11.0,45.0,1403.0,363.0,477.0,126.0,550.0,102.0,143.0,190.0,165.0,169.0,83.0,61.0,154.0,70.0,83.0,31.0,45.0,61.0,126.0,618.0,129.0,155.0,190.0,178.0,195.0,83.0,76.0,178.0,76.0,85.0,36.0,55.0,65.0,1001.0,1313.0,0.5515,2016
"Census Tract 74.01, District of Columbia, District of Columbia",2262.0,869.0,14566.0,2024.0,2194.0,640.0,25.5,9647.0,49.0,2161.0,0.0,26.0,0.0,26.0,1462.0,0.0,1950.0,2011.0,399.0,255200.0,1285.0,333.0,406.0,44.0,1928.0,0.0,26.0,0.0,26.0,0.0,48.0,439.0,179.0,155.0,24.0,260.0,0.0,0.0,0.0,538.0,54.0,484.0,24.0,460.0,331.0,331.0,0.0,11,001,007401,312.0,396.0,277.0,48.0,38.0,469.0,995.0,405.0,167.0,176.0,90.0,63.0,49.0,13.0,32.0,542.0,421.0,169.0,201.0,94.0,72.0,49.0,18.0,32.0,1406.0,352.0,436.0,128.0,577.0,113.0,135.0,181.0,127.0,167.0,81.0,86.0,105.0,79.0,89.0,49.0,37.0,70.0,128.0,634.0,139.0,139.0,186.0,134.0,175.0,81.0,95.0,129.0,87.0,91.0,55.0,47.0,74.0,939.0,1323.0,0.5662,2017
"Census Tract 74.01, District of Columbia, District of Columbia",1876.0,751.0,13750.0,1711.0,1822.0,485.0,27.5,9761.0,65.0,1732.0,0.0,27.0,0.0,52.0,1314.0,0.0,1957.0,2011.0,437.0,247200.0,1165.0,201.0,345.0,61.0,1571.0,0.0,27.0,0.0,52.0,0.0,47.0,371.0,187.0,160.0,27.0,184.0,0.0,0.0,0.0,449.0,61.0,388.0,10.0,378.0,302.0,302.0,0.0,11,001,007401,254.0,378.0,249.0,22.0,51.0,413.0,862.0,417.0,126.0,116.0,71.0,28.0,58.0,13.0,33.0,434.0,427.0,126.0,130.0,76.0,28.0,58.0,17.0,33.0,1260.0,201.0,361.0,97.0,428.0,84.0,148.0,161.0,121.0,101.0,98.0,89.0,63.0,59.0,95.0,44.0,59.0,64.0,97.0,485.0,84.0,148.0,165.0,135.0,101.0,98.0,89.0,77.0,66.0,95.0,44.0,69.0,69.0,736.0,1140.0,0.5929,2018
"Census Tract 76.03, District of Columbia, District of Columbia",4425.0,2065.0,53708.99624432,3526.0,4404.0,191.0,41.7,34184.63593783,214.0,3941.0,12.0,68.0,0.0,175.0,552.0,15.0,1946,2000,881.0,240600.0,532.0,204.0,2790.0,214.0,3207.0,12.0,68.0,0.0,10.0,15.0,164.0,2072.0,1090.0,1027.0,63.0,902.0,0.0,0.0,80.0,1054.0,417.0,637.0,76.0,561.0,1011.0,946.0,65.0,11,001,007603,302.0,815.0,975.0,327.0,269.0,349.0,2663.0,524.0,226.0,217.0,311.0,346.0,426.0,202.0,411.0,411.0,612.0,236.0,261.0,486.0,431.0,491.0,252.0,473.0,552.0,204.0,3648.0,164.0,464.0,120.0,90.0,166.0,279.0,271.0,163.0,266.0,466.0,272.0,157.0,309.0,104.0,235.0,164.0,701.0,131.0,90.0,228.0,448.0,419.0,163.0,339.0,580.0,314.0,167.0,321.0,104.0,235.0,1913.0,2512.0,0.421,2010
